symbol,date,open,high,low,close,day_change,day_change_pct,volume
APOLLO.NS,2025-07-30,177.95,178.00,170.01,171.62,-6.33,-3.56,3270846
APOLLO.NS,2025-07-31,169.20,179.25,167.08,173.66,4.46,2.64,5783262
ASIANPAINT.NS,2025-07-01,2380.50,2400.00,2350.20,2369.50,-11.00,-0.46,1232160
ASIANPAINT.NS,2025-07-02,2340.00,2430.00,2327.00,2419.40,79.40,3.39,1936030
ASIANPAINT.NS,2025-07-03,2428.90,2464.40,2425.00,2430.90,2.00,0.08,1547480
ASIANPAINT.NS,2025-07-04,2430.90,2443.00,2412.00,2424.20,-6.70,-0.28,602309
ASIANPAINT.NS,2025-07-07,2423.30,2465.10,2421.00,2442.80,19.50,0.80,869054
ASIANPAINT.NS,2025-07-08,2440.50,2488.00,2437.30,2484.60,44.10,1.81,1136367
ASIANPAINT.NS,2025-07-09,2520.50,2535.00,2492.90,2498.90,-21.60,-0.86,2328636
ASIANPAINT.NS,2025-07-10,2507.30,2512.00,2445.10,2451.20,-56.10,-2.24,932859
ASIANPAINT.NS,2025-07-11,2447.50,2484.80,2435.50,2439.20,-8.30,-0.34,1050411
ASIANPAINT.NS,2025-07-14,2431.10,2448.60,2391.00,2401.60,-29.50,-1.21,891618
ASIANPAINT.NS,2025-07-15,2409.90,2415.00,2386.30,2393.50,-16.40,-0.68,610228
ASIANPAINT.NS,2025-07-16,2381.00,2422.40,2371.00,2410.50,29.50,1.24,1200909
ASIANPAINT.NS,2025-07-17,2404.10,2414.00,2394.00,2398.90,-5.20,-0.22,526163
ASIANPAINT.NS,2025-07-18,2400.60,2405.00,2372.30,2382.40,-18.20,-0.76,599552
ASIANPAINT.NS,2025-07-21,2382.40,2408.00,2360.80,2375.40,-7.00,-0.29,390931
ASIANPAINT.NS,2025-07-22,2375.40,2380.80,2361.30,2365.20,-10.20,-0.43,411317
ASIANPAINT.NS,2025-07-23,2363.00,2384.70,2352.60,2375.40,12.40,0.52,368999
ASIANPAINT.NS,2025-07-24,2375.40,2380.00,2341.00,2352.10,-23.30,-0.98,506960
ASIANPAINT.NS,2025-07-25,2340.00,2350.50,2325.80,2336.20,-3.80,-0.16,383636
